nodeID nodeLabel nodeSymbol
794 107796 CRX
795 110811 NEDD4
796 113170 UBE2D2
797 114036 TTF2
798 109824 ILK
799 123343 ILKAP
800 110175 LIMS1
801 108122 DNM2
802 119171 SHANK1
803 107111 BLMH
804 111520 PPP2R5D
805 116183 COPS5
806 107506 CFTR
807 121384 GOPC
808 113627 SLBP
809 124718 ERI1
810 114899 SCAMP1
811 112351 ITSN1
812 117500 IPCEF1
813 114687 CYTH2
814 106695 NR0B1
815 115860 HEXIM1
816 111931 RGS4
817 114693 COPB2
818 110379 MAP3K3
819 111593 MAP2K5
820 114303 SNAP23
821 117101 SNAPIN
822 106899 ARNTL
823 114070 RANBP3
824 109063 GOLGA2
825 117479 GORASP2
826 110290 MAGOH
827 115265 RBM8A
828 114723 ASIC3
829 109771 IL1RAP
830 119978 TOLLIP
831 111503 PPP1R8
832 108289 EIF4A1
833 118113 RND1
834 106887 ARHGAP5
835 106883 RND3
836 109423 HNRNPAB
837 114181 TP63
838 115296 NR1H4
839 114200 NCOA1
840 106818 APBA2
841 116550 CLSTN1
842 108809 FYB
843 111551 PRKAB1
844 111558 PRKAG1
845 119531 PRKAG2
846 111552 PRKAB2
847 123954 RGPD5
848 110040 TNPO1
849 108125 DNMT3A
850 107424 CDC5L
851 111488 PPL
852 116858 KAZN
853 112201 SAFB
854 115022 SAFB2
855 111588 MAPK10
856 111586 MAPK11
857 114368 HDAC3
858 110267 SMAD7
859 113056 TRIP6
860 114611 LPAR2
861 114758 LHX2
862 108208 E2F6
863 116997 RYBP
864 111423 POLE2
865 115573 SAP18
866 107159 BTG1
867 109512 PRMT1
868 119981 RNF216
869 112953 TLR3
870 112954 TLR4
871 112955 TLR5
872 120858 ENAH
873 115324 ABI1
874 107712 SLC31A1
875 112330 SRSF7
876 114024 DUSP11
877 110816 NEDD9
878 117071 SRRM2
879 111412 PNN
880 110338 MCL1
881 110682 MVD
882 114506 BTAF1
883 108472 FANCA
884 107533 CHD4
885 114393 ARHGEF7
886 116686 FNBP1
887 114207 TNKS
888 106829 BIRC5
889 114646 AURKB
890 114258 TNFRSF25
891 114257 TRADD
892 114296 PABPC4
893 111815 RABIF
894 116224 RIPK3
895 114274 RIPK1
896 114272 MYH13
897 116098 MALT1
898 114429 BCL10
899 123997 C9orf89
900 107588 AP1S1
901 114420 AP1G2
902 114419 AP1S2
903 114222 VAMP4
904 114421 AP1M1
905 114445 MBD2
906 116452 GPN1
907 124569 MBD3L1
908 119788 MBD3
909 121709 CHD8
910 119035 HUNK
911 116554 UBOX5
912 113180 UBE2L3
913 109337 HIC1
914 112470 SLC22A4
915 115460 PDZK1IP1
916 125471 SLC22A12
917 115370 DNM1L
918 109187 GSK3B
919 107344 CCNT2
920 114029 CUL4A
921 114031 CUL2
922 111811 RAB27A
923 125120 SYTL4
924 115341 TROAP
925 114987 RGS6
926 121004 DMAP1
927 114215 EIF3G
928 115723 TACC3
929 115445 AKAP9
930 116559 DIS3
931 113503 ZBTB17
932 111346 PLCB2
933 120177 TRPM7
934 120997 ERBB2IP
935 117178 PLXNB2
936 114781 GRHPR
937 120371 VPS37C
938 115914 GNA13
939 115817 AKAP3
940 114799 GRAP2
941 108824 GAB1
942 117117 CCNDBP1
943 119537 ANAPC5
944 117939 PABPC1
945 109888 ITGAE
946 115354 TOM1
947 115602 TNIP1
948 115332 PDCD6IP
949 115800 PRDX4
950 123531 CLPB
951 114144 STK16
952 120728 NAGK
953 116003 NCKAP1
954 116117 GADD45G
955 124721 GADD45GIP1
956 116413 PACSIN2
957 118896 PACSIN3
958 112590 SPTBN2
959 109960 KCNJ1
960 114769 SLC9A3R1
961 122397 UPF3A
962 110761 NBL1
963 111073 P4HB
964 112758 TARBP2
965 113999 EEA1
966 121505 RAB22A
967 114264 URI1
968 115550 CNKSR1
969 116356 RASSF1
970 106653 PARP4
971 115286 MVP
972 114846 FHL5
973 109316 HDAC2
974 118061 DISC1
975 114997 FEZ1
976 119535 SNX9
977 114287 ADAM15
978 119902 TLR9
979 124079 RAB11FIP4
980 114299 RAB11A
981 115832 IFITM2
982 115413 TRIM10
983 117001 RHOQ
984 116867 EXOC7
985 122047 PBLD
986 116342 STRAP
987 116483 XRN2
988 119389 ABI3
989 117399 ABI3BP
990 120319 PINX1
991 119018 PACSIN1
992 115872 TXNIP
993 117964 ZBTB32
994 115917 CSPG5
995 117146 ZMYND8
996 115485 TNK2
997 115025 IPO13
998 111114 PAX6
999 116841 PLCB1
1000 118788 OSTM1
1001 117744 RGS17
1002 114161 RGS20
1003 117129 ORC6
1004 116999 AP4E1
1005 115943 AP4B1
1006 122063 CENPK
1007 120714 SOX6
1008 120930 VPS11
1009 116468 EXOSC8
1010 115036 N4BP1
1011 121778 LSM2
1012 124397 LSM10
1013 111421 POLD2
1014 114447 RAB29
1015 124839 COL23A1
1016 119320 KCTD3
1017 117420 THUMPD3
1018 108223 ECT2
1019 119157 PARD6A
1020 120498 MAP1S
1021 118176 CECR2
1022 117128 HEBP2
1023 117689 HSPB8
1024 109547 HSPB1
1025 116603 CCT5
1026 119449 THEG
1027 114072 PPFIA1
1028 118789 GIT1
1029 115755 SYNCRIP
1030 111745 PTPN11
1031 111849 RARA
1032 119291 MECR
1033 113200 UFD1L
1034 120798 NPLOC4
1035 121756 TRIB3
1036 106958 ATF4
1037 115244 ARNT2
1038 111107 PARN
1039 123955 SPATC1L
1040 121243 EXOSC5
1041 115761 NCOA2
1042 108940 GFI1
1043 123747 ITCH
1044 125179 TGS1
1045 110631 ND1
1046 117673 MYCBP
1047 123868 MYCBPAP
1048 110200 LOXL1
1049 115771 FBLN5
1050 110608 MT2A
1051 111573 PRKD1
1052 111578 PRKG1
1053 110941 NPR1
1054 110632 ND2
1055 117941 RNF11
1056 108374 EPS15
1057 114754 SLC9A3R2
1058 117638 KCNG2
1059 109947 KCNB1
1060 108078 DIO2
1061 116671 USP33
1062 107532 CHD3
1063 115505 TOPORS
1064 111210 PER1
1065 107797 CRY1
1066 114387 PER2
1067 120448 THAP1
1068 111108 PAWR
1069 117571 SERBP1
1070 109530 HSF1
1071 113833 SYMPK
1072 108171 DTNB
1073 109999 KIF5A
1074 110341 MCM4
1075 114113 LMO4
1076 107338 CCNE1
1077 114030 CUL3
1078 108351 EPB41L2
1079 109147 GRIA1
1080 116676 PDZD2
1081 107882 CTNND2
1082 109049 GNG5
1083 115920 GNB5
1084 109048 GNG4
1085 109047 GNG3
1086 109050 GNG7
1087 123889 ARL6
1088 115801 ARL6IP5
1089 128336 PIKFYVE
1090 116697 GGA2
1091 112180 SORT1
1092 116658 EXOSC7
1093 124291 ZNF496
1094 122135 NSD1
1095 125050 ARHGAP18
1096 124714 KNSTRN
1097 111403 EXOSC10
1098 117064 SKIV2L2
1099 116949 PUM2
1100 131092 NANOS1
1101 119477 ARL6IP4
1102 116812 ARL6IP1
1103 114909 POLR1C
1104 119272 POLR1D
1105 114547 DNAJA3
1106 123169 RNF34
1107 116928 SYNE1
1108 119331 ING4
1109 116495 COPZ1
1110 119390 COPZ2
1111 121610 LRRC7
1112 116534 CNKSR2
1113 120887 EXOC2
1114 122079 LIN7B
1115 126602 TCP10L
1116 115854 MXD4
1117 124844 UBXN11
1118 124004 DNAJC30
1119 108132 DXO
1120 116406 ZHX1
1121 116688 ZHX3
1122 108234 PHC2
1123 115399 ARPC5
1124 115400 ARPC4
1125 115784 NEBL
1126 121922 NIF3L1
1127 123138 THOC7
1128 125483 PHACTR3
1129 111493 PPP1CA
1130 122115 ATL2
1131 127351 ARL6IP6
1132 121559 ARID1B
1133 117298 PRPF6
1134 120295 TXNL4B
1135 117521 ERC2
1136 114069 PPFIA4
1137 119556 EVL
1138 116869 DNMBP
1139 119341 VPS28
1140 114499 PKD2L1
1141 112991 TNNI3
1142 119276 TNNI3K
1143 118100 KLHL20
1144 112744 TAF10
1145 119220 EXOSC1
1146 111239 CDK14
1147 116788 SEPT8
1148 115206 TLK1
1149 117368 ASF1A
1150 120845 ASF1B
1151 128333 ANKRD23
1152 119312 GOLGA7
1153 109064 GOLGA3
1154 120179 CDHR2
1155 116756 MAST2
1156 110262 SMAD2
1157 217250 NA
1158 202576 NA
1159 213261 NA
1160 215371 NA
1161 213337 NA
1162 207566 NA
1163 219309 NA
1164 208300 NA
1165 201982 NA
1166 206582 NA
1167 204951 NA
1168 216519 NA
1169 200956 NA
1170 215941 NA
1171 206112 NA
1172 201161 NA
1173 211764 NA
1174 211793 NA
1175 219817 NA
1176 198198 NA
1177 219856 NA
1178 201115 NA
1179 214875 NA
1180 224495 NA
1181 201179 NA
1182 201275 NA
1183 201276 NA
1184 211811 NA
1185 204556 NA
1186 207329 NA
1187 200082 NA
1188 207846 NA
1189 212806 NA
1190 218074 NA
1191 202557 NA
1192 201843 NA
1193 213749 NA
1194 218262 NA
1195 217808 NA
1196 229444 NA
1197 208542 NA
1198 212113 NA
1199 228697 NA
1200 198694 NA
1201 205123 NA
1202 208450 NA
1203 206338 NA
1204 203545 NA
1205 212191 NA
1206 208150 NA
1207 208028 NA
1208 201274 NA
1209 203521 NA
1210 201894 NA
1211 200265 NA
1212 204402 NA
1213 200840 NA
1214 214914 NA
1215 214571 NA
1216 198142 NA
1217 213637 NA
1218 202543 NA
1219 234782 NA
1220 204983 NA
1221 199963 NA
1222 198630 NA
1223 213803 NA
1224 225455 NA
1225 224378 NA
1226 205979 NA
1227 218476 NA
1228 213838 NA
1229 223749 NA
1230 216559 NA
1231 213645 NA
1232 199979 NA
1233 219684 NA
1234 206147 NA
1235 216023 NA
1236 211379 NA
1237 199977 NA
1238 205976 NA
1239 198946 NA
1240 214470 NA
1241 216092 NA
1242 201432 NA
1243 203547 NA
1244 200601 NA
1245 198645 NA
1246 199051 NA
1247 222545 NA
1248 211887 NA
1249 228327 NA
1250 220237 NA
1251 200421 NA
1252 202129 NA
1253 231880 NA
1254 198709 NA
1255 198649 NA
1256 204163 NA
1257 198373 NA
1258 207969 NA
1259 211746 NA
1260 199448 NA
1261 228963 NA
1262 220238 NA
1263 207619 NA
1264 214473 NA
1265 207832 NA
1266 205156 NA
1267 217972 NA
1268 208027 NA
1269 211005 NA
1270 212304 NA
1271 202346 NA
1272 202335 NA
1273 212485 NA
1274 208508 NA
1275 215012 NA
1276 212503 NA
1277 212321 NA
1278 199683 NA
1279 199682 NA
1280 207563 NA
1281 199389 NA
1282 206579 NA
1283 203032 NA
1284 208129 NA
1285 207739 NA
1286 208006 NA
1287 203021 NA
1288 198192 NA
1289 216981 NA
1290 204900 NA
1291 218782 NA
1292 206018 NA
1293 204405 NA
1294 219722 NA
1295 214532 NA
1296 217689 NA
1297 208479 NA
1298 201280 NA
1299 202535 NA
1300 200870 NA
1301 199685 NA
1302 205726 NA
1303 212312 NA
1304 199529 NA
1305 107126 BMPR1B
1306 214962 NA
1307 211770 NA
1308 228239 NA
1309 214954 NA
1310 202341 NA
1311 208383 NA
1312 201279 NA
1313 121411 SMURF1
1314 211189 NA
